SUBSTANCECOMPONENT_ID,SUB_COM_ID,SUB_ID,COM_ID,TRX_ID,SUB_NAME,SUB_ECSUBINVENTENTRYREF,SUB_CASNUMBER,SUB_DESCRIPTION,SUBPARAM_ID,SUBPARAM_CODE,SUBPARAMNAME,SUB_TYPE,QUALIFIER_ID,QUALIFIER_CODE,QUALIFIER,COMP_VALUE,COM_NAME,COM_ECSUBINVENTENTRYREF,COM_CASNUMBER,IUPACNAME,COMPARAM_ID,COMPARAM_CODE,COMPARAMNAME,MOLECULARFORMULA,SMILESNOTATION,INCHI,COM_TYPE,COM_STRUCTURESHOWN,SMILESNOTATIONSOURCE,INCHI_NOTATIONSOURCE
370783,1,1,486,40611,Vanadium (total),231-171-1,7440-62-2,"Vanadium is widely distributed in the earth's crust. It occurs naturally in the form of about 70 minerals, but does not occur as metallic vanadium. In its compounds, it forms different oxidation states, the most common being +3, +4, and +5.",31,RF-00000199-CHE,Vanadium (V),"group, open",9,QU09A,not part of group assessment,,Vanadate,,,,24552,RF-00009930-PAR,Vanadate,,,,inorganic,,,
370784,2,1,487,40611,Vanadium (total),231-171-1,7440-62-2,"Vanadium is widely distributed in the earth's crust. It occurs naturally in the form of about 70 minerals, but does not occur as metallic vanadium. In its compounds, it forms different oxidation states, the most common being +3, +4, and +5.",31,RF-00000199-CHE,Vanadium (V),"group, open",9,QU09A,not part of group assessment,,Sodium vanadate,237-272-7,13178-26-8,sodium oxido(dioxo)vanadium,24645,RF-00010023-PAR,Sodium vanadate,NaO3V,,,inorganic,,,
370785,3,1,488,40611,Vanadium (total),231-171-1,7440-62-2,"Vanadium is widely distributed in the earth's crust. It occurs naturally in the form of about 70 minerals, but does not occur as metallic vanadium. In its compounds, it forms different oxidation states, the most common being +3, +4, and +5.",31,RF-00000199-CHE,Vanadium (V),"group, open",9,QU09A,not part of group assessment,,Vanadyl sulfate,248-652-7,27774-13-6,Vanadium oxide sulphate,24646,RF-00010024-PAR,Vanadyl sulfate,,,,inorganic,,,
370786,4,1,489,40611,Vanadium (total),231-171-1,7440-62-2,"Vanadium is widely distributed in the earth's crust. It occurs naturally in the form of about 70 minerals, but does not occur as metallic vanadium. In its compounds, it forms different oxidation states, the most common being +3, +4, and +5.",31,RF-00000199-CHE,Vanadium (V),"group, open",9,QU09A,not part of group assessment,,Vanadium pentoxide,215-239-8,1314-62-1,dioxovanadiooxy(dioxo)vanadium,24647,RF-00010025-PAR,Vanadium pentoxide,O5V2,,,inorganic,,,
370787,5,2,490,40611,Boron compounds,,,"Boron is a naturally occurring element that is found in the form of borates in the oceans, sedimentary rocks, coal, shale, and some soils. Boron has an atomic number of 5 and a relative atomic mass of 10.811; it exists in two allotropic forms, a brown amorphous powder and very hard brilliant crystals. Boron occurs in food as borate or boric acid.",24982,RF-00010360-PAR,Boron compounds,"group, open",9,QU09A,not part of group assessment,,Boric acid,234-343-4,11113-50-1,boric acid,14270,RF-00000056-ADD,Boric acid,BH3O3,B(O)(O)O,InChI=1S/BH3O3/c2-1(3)4/h2-4H,inorganic,,,
370788,6,2,491,40611,Boron compounds,,,"Boron is a naturally occurring element that is found in the form of borates in the oceans, sedimentary rocks, coal, shale, and some soils. Boron has an atomic number of 5 and a relative atomic mass of 10.811; it exists in two allotropic forms, a brown amorphous powder and very hard brilliant crystals. Boron occurs in food as borate or boric acid.",24982,RF-00010360-PAR,Boron compounds,"group, open",9,QU09A,not part of group assessment,,Borate,,,borate,23837,RF-00009218-PAR,Borate,(BO3)3-,B([O-])([O-])[O-],InChI=1S/BO3/c2-1(3)4/q-3,inorganic,,,
370791,7,3,3,40611,Ascorbic acid,200-066-2,50-81-7,"Vitamin C is a 6-carbon hydroxy-lactone that is structurally related to glucose. It is a micronutrient essential to humans, primates and guinea pigs, but which is synthesised by other mammalian species from glucose and galactose. Vitamin C is highly water soluble, and in solution can be oxidised by atmospheric oxygen to give an equilibrium mixture of ascorbic and dehydroascorbic acids.",14262,RF-00000046-ADD,Ascorbic acid,single chemical entity,7,QU07A,as such,,Ascorbic acid,200-066-2,50-81-7,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",14262,RF-00000046-ADD,Ascorbic acid,C6H8O6,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",organic,,,
370792,8,4,33,40611,Silicon (total),231-130-8,7440-21-3,"Silicon occurs naturally in foods as silicon dioxide (silica) and silicates, and may also be added as an anti-caking and anti-foaming agent in the form of silica, silicates and dimethylpolysiloxane.",41,RF-00000072-CHE,Silicon,"group, open",9,QU09A,not part of group assessment,,Silicon dioxide,231-545-4,7631-86-9,dioxosilane,14421,RF-00000271-ADD,Silicon dioxide,O2Si,O=[Si]=O,InChI=1S/O2Si/c1-3-2,inorganic,,,
370793,9,4,492,40611,Silicon (total),231-130-8,7440-21-3,"Silicon occurs naturally in foods as silicon dioxide (silica) and silicates, and may also be added as an anti-caking and anti-foaming agent in the form of silica, silicates and dimethylpolysiloxane.",41,RF-00000072-CHE,Silicon,"group, open",9,QU09A,not part of group assessment,,Polydimethylsiloxane,618-493-1,9016-00-6,Polydimethylsiloxane,24537,RF-00009915-PAR,Polydimethylsiloxane,,,,organic,,,
370794,10,4,493,40611,Silicon (total),231-130-8,7440-21-3,"Silicon occurs naturally in foods as silicon dioxide (silica) and silicates, and may also be added as an anti-caking and anti-foaming agent in the form of silica, silicates and dimethylpolysiloxane.",41,RF-00000072-CHE,Silicon,"group, open",9,QU09A,not part of group assessment,,Silicate,,12627-13-3,silicate,23838,RF-00009219-PAR,Silicate,SiO4(4-),[O-][Si]([O-])([O-])[O-],"InChI=1S/O4Si/c1-5(2,3)4/q-4",inorganic,,,
